year;title;studios;producers;winner
1980;Can't Stop the Music;Associated Film Distribution;Allan Carr;yes
1980;Cruising;Lorimar Productions, United Artists;Jerry Weintraub;
1980;The Formula;MGM, United Artists;Steve Shagan;
1980;Friday the 13th;Paramount Pictures;Sean S. Cunningham;
1980;The Nude Bomb;Universal Studios;Jennings Lang;
1980;The Jazz Singer;Associated Film Distribution;Jerry Leider;
1980;Raise the Titanic;Associated Film Distribution;William Frye;
1980;Saturn 3;Associated Film Distribution;Stanley Donen;
1980;Windows;United Artists;Mike Lobell;
1980;Xanadu;Universal Studios;Lawrence Gordon;
1981;Mommie Dearest;Paramount Pictures;Frank Yablans;yes
1981;Endless Love;Universal Studios, PolyGram;Dyson Lovell;
1981;Heaven's Gate;United Artists;Joann Carelli;
1981;The Legend of the Lone Ranger;Universal Studios, Associated Film Distribution;Walter Coblenz;
1981;Tarzan, the Ape Man;MGM, United Artists;John Derek;
1982;Inchon;MGM;Mitsuharu Ishii;yes
1982;Annie;Columbia Pictures;Ray Stark;
1982;Butterfly;Analysis Film Releasing;Matt Cimber;
1982;Megaforce;20th Century Fox;Albert S. Ruddy;
1982;The Pirate Movie;20th Century Fox;David Joseph;
1983;The Lonely Lady;Universal Studios;Robert R. Weston;yes
1983;Hercules;MGM, United Artists, Cannon Films;Yoram Globus and Menahem Golan;
1983;Jaws 3-D;Universal Studios;Rupert Hitzig;
1983;Stroker Ace;Warner Bros., Universal Studios;Hank Moonjean;
1983;Two of a Kind;20th Century Fox;Roger M. Rothstein and Joe Wizan;
1984;Bolero;Cannon Films;Bo Derek;yes
1984;Cannonball Run II;Warner Bros.;Albert S. Ruddy;
1984;Rhinestone;20th Century Fox;Marvin Worth and Howard Smith;
1984;Sheena;Columbia Pictures;Paul Aratow;
1984;Where the Boys Are '84;TriStar Pictures;Allan Carr;
1985;Rambo: First Blood Part II;Columbia Pictures;Buzz Feitshans;yes
1985;Fever Pitch;MGM, United Artists;Freddie Fields;
1985;Revolution;Warner Bros.;Irwin Winkler;
1985;Rocky IV;MGM, United Artists;Irwin Winkler and Robert Chartoff;
1985;Year of the Dragon;MGM, United Artists;Dino De Laurentiis;
1986;Howard the Duck;Universal Studios;Gloria Katz;yes
1986;Under the Cherry Moon;Warner Bros.;Bob Cavallo, Joe Ruffalo and Steve Fargnoli;yes
1986;Blue City;Paramount Pictures;William L. Hayward and Walter Hill;
1986;Cobra;Warner Bros., Cannon Films;Yoram Globus and Menahem Golan;
1986;Shanghai Surprise;MGM;John Kohn;
1987;Leonard Part 6;Columbia Pictures;Bill Cosby;yes
1987;Ishtar;Columbia Pictures;Warren Beatty;
1987;Jaws: The Revenge;Universal Studios;Joseph Sargent;
1987;Tough Guys Don't Dance;Cannon Films;Yoram Globus and Menahem Golan;
1987;Who's That Girl;Warner Bros.;Rosilyn Heller and Bernard Williams;
1988;Cocktail;Touchstone Pictures;Ted Field and Robert W. Cort;yes
1988;Caddyshack II;Warner Bros.;Neil Canton, Jon Peters and Peter Guber;
1988;Hot to Trot;Warner Bros.;Steve Tisch;
1988;Mac and Me;Orion Pictures;R. J. Louis;
1988;Rambo III;TriStar Pictures, Carolco Pictures;Buzz Feitshans;
1989;Star Trek V: The Final Frontier;Paramount Pictures;Harve Bennett;yes
1989;The Karate Kid Part III;Columbia Pictures;Jerry Weintraub;
1989;Lock Up;TriStar Pictures, Carolco Pictures;Charles Gordon and Lawrence Gordon;
1989;Road House;United Artists;Joel Silver;
1989;Speed Zone;Orion Pictures;Murray Shostack;
1990;The Adventures of Ford Fairlane;20th Century Fox;Steven Perry and Joel Silver;yes
1990;Ghosts Can't Do It;Triumph Releasing;Bo Derek;yes
1990;The Bonfire of the Vanities;Warner Bros.;Brian De Palma;
1990;Graffiti Bridge;Warner Bros.;Randy Phillips and Craig Rice;
1990;Rocky V;United Artists;Robert Chartoff and Irwin Winkler;
1991;Hudson Hawk;TriStar Pictures;Joel Silver;yes
1991;Cool as Ice;Universal Studios;Carolyn Pfeiffer and Lionel Wingram;
1991;Dice Rules;Seven Arts Productions;Loucas George;
1991;Nothing but Trouble;Warner Bros.;Lester Berman and Robert K. Weiss;
1991;Return to the Blue Lagoon;Columbia Pictures;William A. Graham;
1992;Shining Through;20th Century Fox;Carol Baum and Howard Rosenman;yes
1992;The Bodyguard;Warner Bros.;Kevin Costner, Lawrence Kasdan and Jim Wilson;
1992;Christopher Columbus: The Discovery;Warner Bros.;Alexander Salkind and Ilya Salkind;
1992;Final Analysis;20th Century Fox;Paul Junger Witt, Charles Roven and Tony Thomas;
1992;Newsies;Walt Disney Pictures;Michael Finnell;
1993;Indecent Proposal;Paramount Pictures;Sherry Lansing;yes
1993;Body of Evidence;MGM, United Artists;Dino De Laurentiis;
1993;Cliffhanger;TriStar Pictures, Carolco Pictures;Renny Harlin and Alan Marshall;
1993;Last Action Hero;Columbia Pictures;John McTiernan and Stephen J. Roth;
1993;Sliver;Paramount Pictures;Robert Evans;
1994;Color of Night;Hollywood Pictures;Buzz Feitshans and David Matalon;yes
1994;North;Columbia Pictures, Castle Rock Entertainment;Rob Reiner and Alan Zweibel;
1994;On Deadly Ground;Warner Bros.;A. Kitman Ho, Julius R. Nasso and Steven Seagal;
1994;The Specialist;Warner Bros.;Jerry Weintraub;
1994;Wyatt Earp;Warner Bros.;Kevin Costner, Lawrence Kasdan and Jim Wilson;
1995;Showgirls;MGM, United Artists;Charles Evans and Alan Marshall;yes
1995;Congo;Paramount Pictures;Kathleen Kennedy and Sam Mercer;
1995;It's Pat;Touchstone Pictures;Charles B. Wessler;
1995;The Scarlet Letter;Hollywood Pictures;Roland Joffé and Andrew G. Vajna;
1995;Waterworld;Universal Studios;Kevin Costner, John Davis, Charles Gordon and Lawrence Gordon;
1996;Striptease;Columbia Pictures, Castle Rock Entertainment;Andrew Bergman and Mike Lobell;yes
1996;Barb Wire;PolyGram Filmed Entertainment, Gramercy Pictures;Todd Moyer, Mike Richardson and Brad Wyman;
1996;Ed;Universal Studios;Rosalie Swedlin;
1996;The Island of Dr. Moreau;New Line Cinema;Edward R. Pressman;
1996;The Stupids;New Line Cinema, Savoy Pictures;Leslie Belzberg;
1997;The Postman;Warner Bros.;Kevin Costner, Steve Tisch and Jim Wilson;yes
1997;Anaconda;Columbia Pictures;Verna Harrah, Carole Little and Leonard Rabinowitz;
1997;Batman & Robin;Warner Bros.;Peter MacGregor-Scott;
1997;Fire Down Below;Warner Bros.;Julius R. Nasso and Steven Seagal;
1997;Speed 2: Cruise Control;20th Century Fox;Jan de Bont, Steve Perry and Michael Peyser;
1998;An Alan Smithee Film: Burn Hollywood Burn;Hollywood Pictures;Ben Myron and Joe Eszterhas;yes
1998;Armageddon;Touchstone Pictures;Michael Bay and Jerry Bruckheimer;
1998;The Avengers;Warner Bros.;Jerry Weintraub;
1998;Godzilla;TriStar Pictures;Roland Emmerich and Dean Devlin;
1998;Spice World;Columbia Pictures;Uri Fruchtan, Mark L. Rosen and Barnaby Thompson;
1999;Wild Wild West;Warner Bros.;Jon Peters and Barry Sonnenfeld;yes
1999;Big Daddy;Columbia Pictures;Sidney Ganis and Jack Giarraputo;
1999;The Blair Witch Project;Artisan Entertainment;Robin Cowie and Gregg Hale;
1999;The Haunting;DreamWorks;Susan Arthur, Donna Roth and Colin Wilson;
1999;Star Wars: Episode I – The Phantom Menace;20th Century Fox;Rick McCallum and George Lucas;
2000;Battlefield Earth;Warner Bros., Franchise Pictures;Jonathan D. Krane, Elie Samaha and John Travolta;yes
2000;Book of Shadows: Blair Witch 2;Artisan Entertainment;Bill Carraro;
2000;The Flintstones in Viva Rock Vegas;Universal Studios;Bruce Cohen;
2000;Little Nicky;New Line Cinema;Jack Giarraputo and Robert Simonds;
2000;The Next Best Thing;Paramount Pictures;Leslie Dixon, Linne Radmin and Tom Rosenberg;
2001;Freddy Got Fingered;20th Century Fox;Larry Brezner, Howard Lapides and Lauren Lloyd;yes
2001;Driven;Warner Bros., Franchise Pictures;Renny Harlin, Elie Samaha and Sylvester Stallone;
2001;Glitter;20th Century Fox, Columbia Pictures;Laurence Mark and E. Bennett Walsh;
2001;Pearl Harbor;Touchstone Pictures;Michael Bay and Jerry Bruckheimer;
2001;3000 Miles to Graceland;Warner Bros., Franchise Pictures;Demian Lichtenstein, Eric Manes, Elie Samaha, Richard Spero and Andrew Stevens;
2002;Swept Away;Screen Gems;Matthew Vaughn;yes
2002;The Adventures of Pluto Nash;Warner Bros.;Martin Bregman, Michael Scott Bregman and Louis A. Stroller;
2002;Crossroads;Paramount Pictures;Ann Carli;
2002;Pinocchio;Miramax Films;Gianluigi Braschi, Nicoletta Braschi and Elda Ferri;
2002;Star Wars: Episode II – Attack of the Clones;20th Century Fox;Rick McCallum and George Lucas;
